text,label
"Ik rook niet veel, dus ik denk niet dat het veel invloed op me zal hebben",low-importance
"Ik rook normaal gesproken niet veel, alleen tijdens feesten",low-importance
"Ik voel me normaal gesproken prima, ik rook alleen met vrienden tijdens feesten",low-importance
Ik rook niet zoveel,low-importance
"Ik denk niet dat het slecht is, ik ben gezond",low-importance
"Ik denk niet dat het me zal doden ofzo, ik rook soms",low-importance
Ik ben alleen een sociale roker,low-importance
"Ik rook zo nu en dan, weet je wel",low-importance
"De meeste dagen rook ik eigenlijk niet, misschien maar een of twee keer per week",low-importance
Ik zie eigenlijk nu nog geen probleem,low-importance
Ik denk niet dat het zo slecht is,low-importance
Ik denk niet dat ik het kan,low-confidence
Het is gewoon te lastig,low-confidence
Het is gewoon te zwaar,low-confidence
"Ik denk altijd misschien de volgende keer, maar het gebeurt nooit",low-confidence
Het is gewoon moeilijk omdat al mijn vrienden ook roken,low-confidence
Het is gewoon niet makkelijk,low-confidence
Ik wilde het proberen maar ik denk niet dat ik het kan,low-confidence
Het is moeilijk om het in mijn eentje te doen,low-confidence
Het is erg lastig wanneer mensen om me heen allemaal roken,low-confidence
Het is niet zo makkelijk als ik dacht,low-confidence
Ik vind het samen roken met mijn vrienden gezellig,strong-need
Het helpt me met stress,strong-need
Ik heb een manier nodig weg van de stress,strong-need
Roken helpt me met beter kunnen focussen op mijn studie,strong-need
Ik heb een sigaret nodig wanneer ik stress heb,strong-need
Ik geniet van het moment dat ik samen met mijn vrienden rook,strong-need
Het helpt me heel erg wanneer ik me neerslachtig voel,strong-need
Door roken voel ik me beter wanneer ik stress heb en me naar voel,strong-need
Ik was depressief en het liet me beter voelen,strong-need
Tijdens de examen periode is het ontzettend stresvol en dan moet ik roken,strong-need
