text,label
Voor een betere gezondheid,health
Ik zal niet zoveel hoesten,health
Ik zal niet veel hoesten,health
Ik zal minder hoesten,health
Mijn tanden zijn soms gevoelig,health
Mijn tanden kunnen gevoelig zijn,health
Ik kan beter presteren tijdens het sporten,health
Ik kan beter sporten,health
Ik heb gezondere longen,health
Mijn longen zijn gezonder,health
Ik heb denk ik minder kans op kanker,health
De kans op kanker is denk ik kleiner,health
je hebt geen ademhalingsproblemen denk ik,health
Geen ademhalingsproblemen,health
Ik denk dat ik gewoon langer zal leven,health
Ik kan meer energie hebben en me minder moe voelen overdag,health
Slecht voor de gezondheid,health
Omdat het gezonder is niet te roken,health
Want niet roken is gezonder,health
Gezondheid. Nederlanders moeten toch al veel fietsen,health
Roken is ongezond en verslavend.,health
"Het zou beter voor je gezondheid zijn, maar ook voor de gezondheid van mensen om je heen",health
Ik denk niet dat er geen slechte dingen zijn aan niet roken,health
Roken is in ieder opzicht slecht voor je gezondheid,health
Ik probeerde gezonder te zijn,health
Ik hoestte te veel,health
"Minder orale problemen, zoals gevoelige tanden of ongezond tandvlees",health
Kortademig,health
kortademen,health
Je ruikt beter,appearance
Je ruikt lekkerder,appearance
Je hebt geen slechte adem,appearance
Wittere tanden,appearance
Je tanden zullen er beter uit zien,appearance
Ik denk dat mijn huid er beter uit zal zien als ik minder rook,appearance
Gele vingers zijn vervelend,appearance
Mijn kleding zal minder ruiken,appearance
Mijn kleding zal minder stinken,appearance
Mijn haren zullen niet naar rook ruiken,appearance
Mijn haar zal niet naar rook ruiken,appearance
Ik denk dat een betere adem een van de betere dingen is,appearance
Je verouderd sneller,appearance
Je ziet er sneller ouder uit,appearance
Je zal geen gele vingers en nagels hebben,appearance
"Je ziet er ouder uit, het geeft je rimpels en puistjes",appearance
Je ziet er ouder en lelijker uit,appearance
"Geen verkleurde tanden, vingers of nagels",appearance
Niet goed voor de huid,appearance
"Nou, ik zou een frissere adem willen",appearance
Sommige mensen vinden de geur van sigaretten niet fijn,appearance
Bettere geur en geen vieze nagels,appearance
Je ruikt beter en ziet er beter uit,appearance
"Ik denk dat er geen slechte dingen zijn aan niet roken, het is erg duur",cost
Het is veel goedkoper,cost
Geld problemen,cost
Ik zou te arm zijn om eten te kopen aan het einde van de maand,cost
Het kost heel veel geld,cost
Ik werk extra om genoeg betaald te krijgen zodat ik sigaretten kan kopen,cost
Geen geld problemen meer denk ik,cost
Het bespaard geld,cost
Sigaretten zijn duur,cost
Het geld en de tijd die ik er aan spendeer,cost
Je zal meer geld hebben voor andere dingen,cost
Het is erg duur,cost
"Nou, ik zal meer geld hebben voor andere dingen",cost
"Ze kosten veel geld, vooral wanneer ik stress heb",cost
De prijs stijgt dus ik denk dat het opzicht goed is om te stoppen,cost
Ik geef veel geld uit om ze iedere maand te kopen,cost
Het maakt me armer,cost
Arme studenten hebben er geen geld voor,cost
Het is beter voor mijn financiën,cost
Ik hoef niet meer naar het gezeur van mijn moeder te luisteren,social
Het stoort mijn huisgenoten dat ik rook,social
Ik wil geen slecht rol model zijn voor mijn zussen,social
Dan is er meer rust in huis met mijn gezin,social
Beter voor de baby,social
Mijn ouders zouden er blij mee zijn,social
Mijn vriendin zal blijer zijn,social
Er hoeft geen ruzie over te zijn met mijn vriend,social
"Eigenlijk zie ik het probleem niet, maar mijn partner vindt dat ik moet stoppen dus ik denk dat ze hier blij over zal zijn",social
Ik woon nog bij mijn ouders en ik ben het sneaken en roken beu,social
"Ik denk dat veel mensen zich geforceerd voelen, door familie of vriend of vriendin, weet je wel",social
Betere relatie in huis denk ik,social
Betere relatie met mijn huisgenoten,social
"Ik woon in een gedeeld appartement, dus mijn huisgenoten klagen veel over dat ik rook",social
Mijn moeder haat het,social
Ik wil niet rond sneaken en het voor mijn familie verstoppen,social
"Mijn vader is gestopt, en hij wilt dat ik ook stop",social
Mijn vriend stuurde me naar jou om te praten,social
Mijn huisarts zal blij zijn,social
