text,label,note
I feel I'm in control of my own life,positive,tell me one positive/negative feeling when you quit smoking
I feel energetic,positive,tell me one positive/negative feeling when you quit smoking
I feel I can keep promises to myself,positive,tell me one positive/negative feeling when you quit smoking
relaxed,positive,tell me one positive/negative feeling when you quit smoking
I feel lighter in my body,positive,tell me one positive/negative feeling when you quit smoking
Oh I just feel like a better person overall,positive,tell me one positive/negative feeling when you quit smoking
I feel less dependent on cigarettes,positive,tell me one positive/negative feeling when you quit smoking
"I felt anxious at the beginning, but it decreased soon",positive,tell me one positive/negative feeling when you quit smoking
I felt I was being responsible for myself and others,positive,tell me one positive/negative feeling when you quit smoking
felt like I was a good person,positive,tell me one positive/negative feeling when you quit smoking
I had better appetite,positive,tell me one positive/negative feeling when you quit smoking
I felt so tired all the time,negative,tell me one positive/negative feeling when you quit smoking
easily irritated ,negative,tell me one positive/negative feeling when you quit smoking
I got angry easily,negative,tell me one positive/negative feeling when you quit smoking
I was sleep all the time,negative,tell me one positive/negative feeling when you quit smoking
I felt sad for no reason,negative,tell me one positive/negative feeling when you quit smoking
my depression got worse,negative,tell me one positive/negative feeling when you quit smoking
I couldn't really focus on anything,negative,tell me one positive/negative feeling when you quit smoking
I couldn't study for my exams,negative,tell me one positive/negative feeling when you quit smoking
I lost my appetite for a while,negative,tell me one positive/negative feeling when you quit smoking
had problem concentrating,negative,tell me one positive/negative feeling when you quit smoking
I felt so annoyed because I was gaining weight,negative,tell me one positive/negative feeling when you quit smoking
very frustrated,negative,tell me one positive/negative feeling when you quit smoking
I don't see any good things,negative,tell me one positive/negative feeling when you quit smoking
It made me feel accomplished and determined.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt really alive and motivated!,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt accomplished and empowered.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
It gave me a sense of achievement.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt very productive and competent.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
That challenge made me feel strong and capable.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
It made me feel very satisfied and fulfilled.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt really thrilled to overcome it.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt enlightened and capable.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt really encouraged and enthusiastic.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt extremely proud and accomplished.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt elated because I managed to overcome the obstacles.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
The sense of victory is truly refreshing.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I am more aware of my abilities now.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
The challenge has sparked my interest even further.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
I felt invincible once I overcame the challenge.,positive,"Generated by GPT-4 answering the question ""How did that challenge make you feel?"""
