text,label,question,prompts,note
"Eerlijk gezegd, heb ik geen positieve gevoelens ervaren.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Dat was nogal verschrikkelijk, om eerlijk te zijn.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was helemaal geen fijne ervaring.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar er valt eigenlijk niets positiefs te vertellen.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was juist een verwoestende ervaring voor mij. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Dat was super moeilijk, eigenlijk. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Ik vond het eigenlijk vrij slopend. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Er zullen vast wel positieve kanten aan zitten, maar dat heb ik zelf niet ervaren.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Echt niet leuk, ik kan je vertellen dat het geen pretje was.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar er was niets aangenaams aan die keer.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Dat was veel meer pijnlijk dan positief.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Echt vreselijk, ik zou het aan niemand aanraden.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was echter een heel zware periode voor mij. ,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het voelde als een nachtmerrie, niets positiefs aan. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
Het was echt een rot ervaring.,negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Dat was een vreselijke tijd, ik kan niet zeggen dat er iets positiefs aan was.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik heb er echt geen goed gevoel bij gehad, eerlijk gezegd.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Ik had het heel moeilijk, er was niets moois aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar ik vond het absoluut niet mooi. ",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het was echt vreselijk, niets goeds aan.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Sorry, maar het was een ellendig gevoel.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
"Het voelde pijnlijk, echt niet leuk.",negative,"“Vertel me over een positief gevoel dat je ervoer de vorige keer dat je stopte.""",I am creating a dataset for sentiment analysis in Dutch. Give me 100 examples of negative replies to the following question. The answers should sound natural in informal Dutch chat.,Generated by GPT-4
