text,label
Ik vind het gezellig om te chillen met mijn vrienden die roken,pro-smoking
Het is nog steeds een goed iets,pro-smoking
Ik vind het nog steeds fijn,pro-smoking
"Ik weet het, ik ben er gewoon nog niet klaar voor om te stoppen",pro-smoking
"Ik rook niet veel, dus ik denk niet dat het me veel zal beïnvloeden",pro-smoking
Het helpt me nog steeds met een stresvol moment,pro-smoking
"Het is echt een routine geworden, het is moeilijk om op te geven",pro-smoking
Ik wil niet stoppen,pro-smoking
"Ik weet al de problemen, maar mij maken die niet uit, ik voel niet de behoefte om nu te stoppen",pro-smoking
Het is een goede relatie,pro-smoking
Ik ben er niet klaar voor om het sociale aspect op te geven. Dus stoppen is nu niet iets voor mij,pro-smoking
Ik voel me er goed over. Ik denk niet dat ik nu wil stoppen,pro-smoking
Ja het is waarschijnlijk niet zo goed als ik dacht dat het was,pro-quitting
"Ik bedoel, ik werd ouder en geef nu meer om mijn gezondheid",pro-quitting
Het is het niet waard,pro-quitting
Het is niet zo belangrijk als mijn gezondheid,pro-quitting
Het is beter als ik stop met roken,pro-quitting
Ik denk dat roken misschien meer slechte dingen met zich brengt,pro-quitting
Ik wil niet meer onder de sociale druk bezwijken,pro-quitting
"Ik was nog jong toen ik begon met roken om te socialisen, maar misschien zal ik nu stoppen en controle krijgen over mijn leven",pro-quitting
Ik begon het belang van mijn gezondheid in te zien,pro-quitting
Ik geef om mijn familie en zij zijn meer belangrijk dan roken,pro-quitting
"Ik weet het niet, ik weet dat ik moet stoppen, maar het is moeilijk",ambivalence
"Ik zou eigenlijk moeten stoppen, maar ik wil het ook weer niet volledig opgeven",ambivalence
"Ik weet alles over mijn gezondheid en zo, maar ik vind roken gewoon fijn",ambivalence
"Misschien verminder ik het, maar het is gewoon lastig en ik weet niet of ik daar mee om kan gaan",ambivalence
"Ik was jong, en nu ik ouder ben, ben ik er minder zeker van. Het is moeilijk om iets op te geven dat zo lang deel uitmaakte van mijn leven",ambivalence
"Ik kan niet kiezen. Ik weet dat het slecht is, maar het helpt wanneer ik stres heb",ambivalence
"Ik weet dat het beter zal zijn als ik stop, maar ik vind het gezellig om met mijn vrienden te chillen",ambivalence
"Het heeft me geholpen tijdens zware periodes en ik voel me nu beter, maar stoppen schrikt me wel af",ambivalence
"Ik heb er gemengde gevoelens over. Ik weet dat het slecht is, maar ook moeilijk is om te stoppen",ambivalence
"Het is overweldigend. Ik weet dat ik zou moeten stoppen, maar…",ambivalence
