text,label
"Al mijn vrienden rookten, en ik wilde me niet buitengesloten voelen",pressure
Ik begon met roken omdat het cool was om te doen binnen mijn vriendengroep.,pressure
Ik voelde druk om te roken omdat iedereen om me heen het al deed.,pressure
"Ik begon met roken om er bij te horen, ookal wilde ik het niet echt.",pressure
Ik begon met roken omdat mijn collega's op werk altijd tijdens hun pauzes rookten.,pressure
"Al mijn klasgenoten rookten, dus ik dacht dat ik dat ook moest doen.",pressure
Ik ging om met vrienden die rookten en begon gewoon.,pressure
Om hetzelfde te zijn als de rest.,pressure
Om te chillen met mijn vrienden.,pressure
"Heel veel mensen om mij heen waren rokers, dus…",pressure
Gewoon iedereen uit mijn land rookt.,norm
Ik groeide op met rokers om me heen en het was gewoon natuurlijk,norm
"Het was normaal voor mensen van mijn leeftijd om in mijn buurt te roken, dus ik volgde gewoon.",norm
Mijn ouders en grootouders waren allemaal rokers.,norm
"Het leek alsof iedereen om me heen rookten, het was gewoon normaal.",norm
Ik groeide op met het idee dat roken iets was dat iedereen deed. ,norm
"Ik weet het niet, ik heb er nooit over nagedacht, omdat iedereen het deed en op een dag begon ik ook.",norm
Sigaretten hielpen me om om te gaan met stress en angst,relief
Ik begon met roken om te dealen met de pijn na een moeilijke breakup.,relief
Roken was mijn manier om te ontsnappen van de druk van school en familieproblemen.,relief
Ik rookte omdat ik leek te helpen met het verdoven van het verdriet dat ik van binnen voelde.,relief
Sigaretten helpen me rustig te worden wanneer ik me overweldigd voel.,relief
Ik gebruikte roken als een manier om om te gaan met de stress van mijn werk.,relief
Omdat ik me heel gestresst voelde op dat moment.,relief
Ik leed aan depressie en roken hielp me met het ontwijken van mijn gevoelens.,relief
"Wanneer ik me angstig voelde, bood roken me een tijdelijke uitweg.",relief
Ik hielp me met angst./angstige gevoelens.,relief
Ik rookte om mijn problemen te vergeten en te vluchten van de realiteit.,relief
Roken werd een manier voor me om om te gaan met stress.,relief
Ik had heel veel stress en roken hielp me om dit een beetje te verminderen.,relief
"Ik was benieuwd hoe het was, omdat iedereen rookten.",curiosity
Ik dacht dat een keer een sigaret uitproberen uit nieuwsgierigheid geen kwaad kon.,curiosity
Ik was nieuwsgierig naar hoe het zou voelen om te roken.,curiosity
Het was experimenteel. Ik wilde weten hoe het was om te roken.,curiosity
"Ik begon met roken uit nieuwsgierigheid, gewoon om te zien hoe het zou zijn.",curiosity
Probeerde het een keer en het was best fijn.,curiosity
Ik zag mensen roken in films en was nieuwsgierig naar de ervaring.,curiosity
Ik wilde weten waarom mensen roken tijdens pauzes.,curiosity
Ik experimenteerde met roken omdat ik me wilde afzetten tegen sociale normen.,curiosity
